,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
5,1,1,1,0,0,0,0,0,0,0,0,0,0,7,0,5
6,1,0,0,0,0,1,1,0,0,0,0,0,0,7,0,6
7,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,7
8,1,0,1,0,0,0,0,1,0,0,0,0,0,7,0,8
9,1,0,1,0,0,0,0,0,0,0,1,0,0,7,0,9
10,1,0,1,0,0,0,0,0,0,0,0,1,0,7,0,10
11,1,0,1,0,1,0,0,0,0,0,0,0,0,7,0,11
12,1,0,1,0,0,0,0,0,0,0,0,1,0,7,0,12
13,1,1,0,1,0,0,0,0,0,0,0,0,0,7,0,13
14,1,0,0,0,0,0,0,0,1,0,0,0,1,7,0,14
15,1,0,0,0,0,1,0,0,0,0,0,0,1,7,0,15
16,1,0,0,0,1,0,0,0,1,0,0,0,0,7,0,16
17,1,0,0,0,1,0,0,1,0,0,0,0,0,7,0,17
18,1,0,0,0,0,1,0,0,0,0,0,1,0,7,0,18
19,0,1,0,0,0,0,0,0,0,1,1,0,0,6,1,19
20,1,1,1,0,0,0,0,0,0,0,0,0,0,6,1,20
21,0,1,1,0,0,0,0,1,0,0,0,0,0,6,1,21
22,0,1,0,0,0,0,0,0,1,0,0,1,0,6,1,22
23,0,1,1,0,0,0,1,0,0,0,0,0,0,6,1,23
24,0,1,0,1,0,0,0,0,0,0,0,0,1,6,1,24
25,0,1,0,0,1,0,1,0,0,0,0,0,0,6,1,25
26,0,1,0,1,0,0,0,0,0,1,0,0,0,6,1,26
27,0,1,0,0,0,0,0,1,0,1,0,0,0,6,1,27
28,1,1,0,0,0,0,0,1,0,0,0,0,0,6,1,28
29,0,1,0,0,0,0,1,0,0,0,1,0,0,6,1,29
30,0,1,0,1,0,0,0,0,1,0,0,0,0,6,1,30
31,0,0,1,0,0,1,0,0,1,0,0,0,0,8,2,31
32,1,0,1,0,0,0,0,0,1,0,0,0,0,8,2,32
33,1,0,1,0,0,0,0,1,0,0,0,0,0,8,2,33
34,0,1,1,0,0,0,0,1,0,0,0,0,0,8,2,34
35,0,0,1,1,0,0,0,0,1,0,0,0,0,8,2,35
36,0,0,1,0,0,1,1,0,0,0,0,0,0,8,2,36
37,1,0,1,0,1,0,0,0,0,0,0,0,0,8,2,37
38,0,1,1,0,1,0,0,0,0,0,0,0,0,8,2,38
39,0,0,1,0,0,0,0,1,0,0,0,0,1,8,2,39
40,0,0,1,1,0,0,0,0,1,0,0,0,0,8,2,40
41,0,0,1,0,0,0,1,0,0,0,0,1,0,8,2,41
42,0,0,1,0,0,1,0,0,0,0,0,0,1,8,2,42
43,0,1,1,0,0,1,0,0,0,0,0,0,0,8,2,43
44,0,1,1,0,0,0,0,0,1,0,0,0,0,8,2,44
45,0,0,1,0,0,1,0,0,0,0,0,1,0,8,2,45
46,0,0,0,1,0,1,0,0,0,0,0,0,1,8,3,46
47,0,0,0,1,0,0,0,1,0,0,0,1,0,8,3,47
48,0,1,0,1,0,0,1,0,0,0,0,0,0,8,3,48
49,0,0,0,1,0,0,0,0,0,0,1,1,0,8,3,49
50,0,1,0,1,0,0,0,1,0,0,0,0,0,8,3,50
51,0,0,0,1,0,0,1,0,1,0,0,0,0,8,3,51
52,0,0,1,1,0,0,0,0,0,0,0,0,1,8,3,52
53,0,1,0,1,0,0,0,0,0,0,0,0,1,8,3,53
54,0,0,0,1,1,0,0,0,1,0,0,0,0,8,3,54
55,0,0,0,1,1,0,0,0,0,0,1,0,0,8,3,55
56,1,0,0,1,0,0,1,0,0,0,0,0,0,8,3,56
57,0,0,1,1,0,0,0,0,1,0,0,0,0,8,3,57
58,0,1,0,1,1,0,0,0,0,0,0,0,0,8,3,58
59,1,0,0,1,0,0,0,0,0,0,0,0,1,8,3,59
60,0,0,0,1,1,0,0,0,0,0,1,0,0,8,3,60
61,0,0,1,1,0,0,0,0,0,1,0,0,0,8,3,61
62,0,0,0,1,0,0,0,0,1,0,0,0,1,8,3,62
63,0,0,0,0,1,0,1,0,0,1,0,0,0,10,4,63
64,0,0,0,0,1,0,0,0,0,1,0,1,0,10,4,64
65,0,0,0,0,1,0,0,1,0,0,0,1,0,10,4,65
66,0,1,0,0,1,0,0,0,0,1,0,0,0,10,4,66
67,0,0,0,0,1,0,1,0,0,1,0,0,0,10,4,67
68,0,0,0,0,1,1,0,1,0,0,0,0,0,10,4,68
69,1,0,0,0,1,0,0,0,1,0,0,0,0,10,4,69
70,0,1,1,0,1,0,0,0,0,0,0,0,0,10,4,70
71,0,0,0,0,1,1,0,0,0,0,0,1,0,10,4,71
72,0,0,0,0,1,0,1,0,1,0,0,0,0,10,4,72
73,0,0,0,0,1,0,0,0,1,1,0,0,0,10,4,73
74,0,0,1,0,1,0,0,1,0,0,0,0,0,10,4,74
75,0,0,0,0,1,0,1,0,0,0,1,0,0,10,4,75
76,1,0,0,0,1,0,0,0,1,0,0,0,0,10,4,76
77,1,0,0,0,1,0,0,0,0,0,0,1,0,10,4,77
78,0,1,0,0,1,0,0,0,0,0,0,0,1,10,4,78
79,0,0,0,0,1,0,0,1,0,0,0,0,1,10,4,79
80,0,0,0,0,1,0,1,0,0,0,1,0,0,10,4,80
81,0,1,0,0,1,0,0,0,0,0,0,1,0,10,4,81
82,0,1,0,0,1,0,0,0,0,0,0,0,1,10,4,82
83,0,0,0,1,1,1,0,0,0,0,0,0,0,10,4,83
84,0,1,0,0,1,1,0,0,0,0,0,0,0,10,4,84
85,0,0,0,0,1,0,0,0,0,0,1,0,1,10,4,85
86,0,0,0,0,1,0,1,1,0,0,0,0,0,10,4,86
87,0,0,1,0,1,0,0,0,1,0,0,0,0,10,4,87
88,0,0,0,0,0,1,0,0,0,0,1,0,1,8,5,88
89,0,0,0,0,1,1,0,0,0,0,1,0,0,8,5,89
90,0,0,0,0,0,1,0,0,0,1,0,0,1,8,5,90
91,0,0,0,0,0,1,1,0,0,0,0,1,0,8,5,91
92,0,0,0,0,0,1,0,0,0,0,1,1,0,8,5,92
93,0,0,0,0,0,1,0,1,0,0,1,0,0,8,5,93
94,0,0,0,0,0,1,0,0,0,1,0,0,1,8,5,94
95,0,0,0,0,1,1,0,0,1,0,0,0,0,8,5,95
96,0,0,1,0,0,1,0,1,0,0,0,0,0,8,5,96
97,0,0,0,0,0,1,0,1,0,0,0,1,0,8,5,97
98,0,0,0,0,0,1,0,0,0,1,0,1,0,8,5,98
99,0,0,0,0,0,1,0,1,0,0,0,0,1,8,5,99
100,0,0,0,1,1,1,0,0,0,0,0,0,0,8,5,100
101,0,0,0,0,0,1,0,0,0,1,0,1,0,8,5,101
102,0,0,0,1,0,1,0,0,0,0,0,0,1,8,5,102
103,0,0,0,0,0,1,0,0,1,1,0,0,0,8,5,103
104,0,0,0,0,0,0,1,0,1,0,0,0,1,8,6,104
105,0,0,0,1,0,0,1,0,0,0,0,0,1,8,6,105
106,0,0,1,0,0,0,1,0,0,0,1,0,0,8,6,106
107,0,0,0,0,0,1,1,0,0,1,0,0,0,8,6,107
108,0,0,0,0,1,0,1,0,0,1,0,0,0,8,6,108
109,0,1,1,0,0,0,1,0,0,0,0,0,0,8,6,109
110,0,0,1,0,0,0,1,0,0,1,0,0,0,8,6,110
111,1,0,0,0,0,0,1,0,0,1,0,0,0,8,6,111
112,0,1,0,1,0,0,1,0,0,0,0,0,0,8,6,112
113,0,0,0,0,0,0,1,0,1,1,0,0,0,8,6,113
114,0,0,0,0,0,0,1,0,1,0,1,0,0,8,6,114
115,0,0,0,0,0,0,1,1,0,0,0,1,0,8,6,115
116,0,1,0,0,0,0,1,0,0,1,0,0,0,8,6,116
117,0,0,0,0,0,0,1,0,1,0,0,0,1,8,6,117
118,0,0,0,0,0,0,1,0,0,1,1,0,0,8,6,118
119,1,1,0,0,0,0,1,0,0,0,0,0,0,8,6,119
120,0,0,0,1,0,1,1,0,0,0,0,0,0,8,6,120
121,0,0,1,0,0,0,0,1,0,0,0,1,0,8,7,121
122,0,0,0,1,0,0,0,1,0,1,0,0,0,8,7,122
123,0,0,0,0,1,1,0,1,0,0,0,0,0,8,7,123
124,0,0,0,0,0,0,1,1,0,0,0,1,0,8,7,124
125,0,0,1,0,0,0,0,1,0,0,0,0,1,8,7,125
126,0,0,0,0,0,0,0,1,0,1,0,0,1,8,7,126
127,0,0,0,0,0,0,0,1,1,1,0,0,0,8,7,127
128,0,1,0,0,0,0,1,1,0,0,0,0,0,8,7,128
129,0,0,0,0,0,1,0,1,0,0,0,0,1,8,7,129
130,1,0,0,0,0,0,0,1,1,0,0,0,0,8,7,130
131,0,0,0,0,1,0,0,1,0,0,0,0,1,8,7,131
132,0,0,0,0,0,1,0,1,0,1,0,0,0,8,7,132
133,1,0,0,0,0,0,0,1,0,1,0,0,0,8,7,133
134,0,0,0,0,0,0,0,1,0,0,0,1,1,8,7,134
135,0,0,0,0,0,1,0,1,0,0,0,1,0,8,7,135
136,0,1,0,1,0,0,0,1,0,0,0,0,0,8,7,136
137,0,0,0,0,0,0,1,1,1,0,0,0,0,8,8,137
138,0,0,0,0,0,0,0,1,1,0,0,0,1,8,8,138
139,0,1,0,1,0,0,0,0,1,0,0,0,0,8,8,139
140,0,0,1,0,1,0,0,0,1,0,0,0,0,8,8,140
141,0,0,0,0,0,1,0,0,1,0,1,0,0,8,8,141
142,0,1,0,0,0,0,1,0,1,0,0,0,0,8,8,142
143,0,0,0,1,0,1,0,0,1,0,0,0,0,8,8,143
144,0,0,1,0,0,0,1,0,1,0,0,0,0,8,8,144
145,0,1,0,0,0,0,1,0,1,0,0,0,0,8,8,145
146,0,0,0,1,0,0,1,0,1,0,0,0,0,8,8,146
147,1,0,0,0,0,1,0,0,1,0,0,0,0,8,8,147
148,0,0,1,0,0,0,1,0,1,0,0,0,0,8,8,148
149,0,0,0,1,0,0,1,0,1,0,0,0,0,8,8,149
150,0,0,0,1,0,0,0,1,1,0,0,0,0,8,8,150
151,0,0,0,0,0,0,0,1,1,0,1,0,0,8,8,151
152,0,0,0,0,0,1,0,0,1,1,0,0,0,8,9,152
153,1,0,0,1,0,0,0,0,0,1,0,0,0,8,9,153
154,0,1,0,0,0,0,0,0,0,1,0,1,0,8,9,154
155,0,0,0,1,1,0,0,0,0,1,0,0,0,8,9,155
156,0,0,0,1,1,0,0,0,0,1,0,0,0,8,9,156
157,0,1,0,1,0,0,0,0,0,1,0,0,0,8,9,157
158,0,0,0,1,0,1,0,0,0,1,0,0,0,8,9,158
159,0,0,0,1,0,0,1,0,0,1,0,0,0,8,9,159
160,0,0,1,0,0,0,0,0,0,1,0,0,1,8,9,160
161,0,0,0,0,0,0,0,0,0,1,1,1,0,8,9,161
162,0,0,0,0,1,0,1,0,0,1,0,0,0,8,9,162
163,0,0,0,0,0,0,0,0,1,1,0,0,1,8,9,163
164,0,1,0,0,0,0,0,0,0,1,1,0,0,8,9,164
165,0,0,0,0,0,1,0,0,1,1,0,0,0,8,9,165
166,0,1,1,0,0,0,0,0,0,1,0,0,0,8,9,166
167,0,0,0,1,0,1,0,0,0,1,0,0,0,8,9,167
168,0,0,0,0,1,0,0,0,0,1,0,0,1,8,9,168
169,0,0,0,0,0,1,1,0,0,0,1,0,0,4,10,169
170,0,0,0,0,1,0,0,1,0,0,1,0,0,4,10,170
171,0,0,0,0,1,0,0,1,0,0,1,0,0,4,10,171
172,1,0,0,0,0,0,0,0,1,0,1,0,0,4,10,172
173,0,0,1,0,0,0,0,1,0,0,1,0,0,4,10,173
174,0,1,0,0,1,0,0,0,0,0,1,0,0,4,10,174
175,0,1,0,1,0,0,0,0,0,0,1,0,0,4,10,175
176,0,0,0,1,0,0,0,0,1,0,0,1,0,9,11,176
177,0,0,0,0,1,0,0,0,0,0,1,1,0,9,11,177
178,0,0,1,0,0,1,0,0,0,0,0,1,0,9,11,178
179,0,0,1,0,0,1,0,0,0,0,0,1,0,9,11,179
180,0,0,0,0,0,1,0,0,0,1,0,1,0,9,11,180
181,0,0,0,0,0,0,0,0,1,0,1,1,0,9,11,181
182,0,0,1,0,0,0,0,0,1,0,0,1,0,9,11,182
183,0,0,0,0,1,0,0,0,0,0,0,1,1,9,11,183
184,0,0,1,0,0,0,0,1,0,0,0,1,0,9,11,184
185,0,0,1,0,0,0,0,0,1,0,0,1,0,9,11,185
