Dual_blade 3 4 [6, 11, 12, 14] Mon Aug 23 16:50:28 2021
[89, 23, 26, 50]
[89, 23, 31, 50]
[89, 23, 26, 69]
[89, 23, 31, 69]
[89, 23, 26, 71]
[89, 23, 26, 74]
[89, 23, 26, 77]
[89, 23, 26, 80]
[89, 23, 31, 80]
[89, 23, 38, 50]
[89, 23, 38, 69]
[89, 23, 38, 71]
[89, 23, 38, 74]
[89, 23, 38, 77]
[89, 23, 38, 80]
[89, 23, 42, 50]
[89, 23, 44, 50]
[89, 23, 42, 69]
[89, 23, 44, 69]
[89, 23, 44, 71]
[89, 23, 44, 74]
[89, 23, 44, 77]
[89, 23, 42, 80]
[89, 23, 44, 80]
[89, 23, 50, 58]
[89, 23, 50, 69]
[89, 23, 53, 69]
[89, 23, 50, 70]
[89, 23, 50, 71]
[89, 23, 50, 74]
[89, 23, 50, 77]
[89, 23, 53, 71]
[89, 23, 53, 74]
[89, 23, 53, 77]
[89, 23, 50, 79]
[89, 23, 50, 80]
[89, 23, 53, 80]
[89, 23, 58, 69]
[89, 23, 58, 71]
[89, 23, 58, 74]
[89, 23, 58, 77]
[89, 23, 58, 80]
[89, 23, 69, 70]
[89, 23, 69, 71]
[89, 23, 69, 74]
[89, 23, 69, 77]
[89, 23, 69, 79]
[89, 23, 69, 80]
[89, 23, 70, 80]
[89, 23, 71, 79]
[89, 23, 71, 80]
[89, 23, 74, 79]
[89, 23, 74, 80]
[89, 23, 77, 79]
[89, 23, 77, 80]
[89, 26, 38, 50]
[89, 31, 38, 50]
[89, 26, 38, 69]
[89, 31, 38, 69]
[89, 26, 38, 71]
[89, 26, 38, 74]
[89, 26, 38, 77]
[89, 31, 38, 71]
[89, 31, 38, 74]
[89, 31, 38, 77]
[89, 26, 38, 80]
[89, 31, 38, 80]
[89, 26, 42, 50]
[89, 26, 44, 50]
[89, 31, 42, 50]
[89, 31, 44, 50]
[89, 26, 42, 69]
[89, 26, 44, 69]
[89, 31, 42, 69]
[89, 31, 44, 69]
[89, 26, 42, 71]
[89, 26, 42, 74]
[89, 26, 42, 77]
[89, 26, 44, 71]
[89, 26, 44, 74]
[89, 26, 44, 77]
[89, 31, 44, 71]
[89, 31, 44, 74]
[89, 31, 44, 77]
[89, 26, 42, 80]
[89, 26, 44, 80]
[89, 31, 42, 80]
