Blaster 3 6 [0, 1, 2, 4, 5, 7] Mon Aug 23 21:03:52 2021
[36, 14, 20, 28, 44, 53]
[36, 14, 20, 28, 44, 54]
[36, 14, 20, 28, 44, 56]
[36, 14, 20, 28, 44, 57]
[36, 14, 20, 28, 44, 58]
[36, 14, 20, 28, 44, 59]
[36, 14, 20, 28, 44, 61]
[36, 14, 20, 28, 44, 62]
[36, 14, 20, 28, 44, 67]
[36, 14, 20, 28, 45, 53]
[36, 14, 20, 28, 45, 54]
[36, 14, 20, 28, 45, 55]
[36, 14, 20, 28, 45, 56]
[36, 14, 20, 28, 45, 57]
[36, 14, 20, 28, 45, 58]
[36, 14, 20, 28, 45, 59]
[36, 14, 20, 28, 45, 61]
[36, 14, 20, 28, 45, 62]
[36, 14, 20, 28, 45, 67]
[36, 14, 20, 28, 45, 68]
[36, 14, 20, 28, 46, 53]
[36, 14, 20, 28, 46, 54]
[36, 14, 20, 28, 46, 55]
[36, 14, 20, 28, 46, 56]
[36, 14, 20, 28, 46, 57]
[36, 14, 20, 28, 46, 58]
[36, 14, 20, 28, 46, 59]
[36, 14, 20, 28, 46, 61]
[36, 14, 20, 28, 46, 62]
[36, 14, 20, 28, 46, 67]
[36, 14, 20, 28, 46, 68]
[36, 14, 20, 28, 48, 53]
[36, 14, 20, 28, 48, 54]
[36, 14, 20, 28, 48, 55]
[36, 14, 20, 28, 48, 56]
[36, 14, 20, 28, 48, 57]
[36, 14, 20, 28, 48, 58]
[36, 14, 20, 28, 48, 59]
[36, 14, 20, 28, 48, 61]
[36, 14, 20, 28, 48, 62]
[36, 14, 20, 28, 48, 67]
[36, 14, 20, 28, 48, 68]
[36, 14, 20, 28, 50, 55]
[36, 14, 20, 28, 50, 56]
[36, 14, 20, 28, 50, 57]
[36, 14, 20, 28, 50, 58]
[36, 14, 20, 28, 50, 61]
[36, 14, 20, 28, 50, 62]
[36, 14, 20, 28, 50, 67]
[36, 14, 20, 28, 50, 68]
[36, 14, 20, 28, 51, 55]
[36, 14, 20, 28, 51, 56]
[36, 14, 20, 28, 51, 57]
[36, 14, 20, 28, 51, 58]
[36, 14, 20, 28, 51, 61]
[36, 14, 20, 28, 51, 62]
[36, 14, 20, 28, 51, 67]
[36, 14, 20, 28, 51, 68]
[36, 14, 20, 29, 45, 53]
