Illium 3 3 [0, 2, 3] Mon Aug 23 13:59:25 2021
[7, 6, 8]
[7, 6, 40]
[7, 6, 41]
[7, 37, 8]
[7, 37, 40]
[7, 37, 41]
[7, 6, 60]
[7, 6, 70]
[7, 37, 60]
[7, 37, 70]
[7, 6, 76]
[7, 6, 79]
[7, 37, 76]
[7, 37, 79]
[7, 6, 90]
[7, 6, 94]
[7, 37, 90]
[7, 37, 94]
[7, 8, 60]
[7, 8, 70]
[7, 40, 60]
[7, 40, 70]
[7, 41, 60]
[7, 41, 70]
[7, 8, 76]
[7, 8, 79]
[7, 40, 76]
[7, 40, 79]
[7, 41, 76]
[7, 41, 79]
[7, 8, 90]
[7, 8, 94]
[7, 40, 90]
[7, 40, 94]
[7, 41, 90]
[7, 41, 94]
[7, 60, 76]
[7, 60, 79]
[7, 70, 76]
[7, 70, 79]
[7, 60, 90]
[7, 60, 94]
[7, 70, 90]
[7, 70, 94]
[7, 76, 90]
[7, 76, 94]
[7, 79, 90]
[7, 79, 94]
[6, 8, 60]
[6, 8, 70]
[6, 40, 60]
[6, 40, 70]
[6, 41, 60]
[6, 41, 70]
[37, 8, 60]
[37, 8, 70]
[37, 40, 60]
[37, 40, 70]
[37, 41, 60]
[37, 41, 70]
[6, 8, 76]
[6, 8, 79]
[6, 40, 76]
[6, 40, 79]
[6, 41, 76]
[6, 41, 79]
[37, 8, 76]
[37, 8, 79]
[37, 40, 76]
[37, 40, 79]
[37, 41, 76]
[37, 41, 79]
[6, 8, 90]
[6, 8, 94]
[6, 40, 90]
[6, 40, 94]
[6, 41, 90]
[6, 41, 94]
[37, 8, 90]
[37, 8, 94]
[37, 40, 90]
[37, 40, 94]
[37, 41, 90]
[37, 41, 94]
[6, 60, 76]
[6, 60, 79]
[6, 70, 76]
[6, 70, 79]
[37, 60, 76]
[37, 60, 79]
[37, 70, 76]
[37, 70, 79]
[6, 60, 90]
[6, 60, 94]
[6, 70, 90]
[6, 70, 94]
[37, 60, 90]
[37, 60, 94]
[37, 70, 90]
[37, 70, 94]
[6, 76, 90]
[6, 76, 94]
[6, 79, 90]
[6, 79, 94]
[37, 76, 90]
[37, 76, 94]
[37, 79, 90]
[37, 79, 94]
[8, 60, 76]
[8, 60, 79]
[8, 70, 76]
[8, 70, 79]
[40, 60, 76]
[40, 60, 79]
[40, 70, 76]
[40, 70, 79]
[41, 60, 76]
[41, 60, 79]
[41, 70, 76]
[41, 70, 79]
[8, 60, 90]
[8, 60, 94]
[8, 70, 90]
[8, 70, 94]
[40, 60, 90]
[40, 60, 94]
[40, 70, 90]
[40, 70, 94]
[41, 60, 90]
[41, 60, 94]
[41, 70, 90]
[41, 70, 94]
[8, 76, 90]
[8, 76, 94]
[8, 79, 90]
[8, 79, 94]
[40, 76, 90]
[40, 76, 94]
[40, 79, 90]
[40, 79, 94]
[41, 76, 90]
[41, 76, 94]
[41, 79, 90]
[41, 79, 94]
[60, 76, 90]
[60, 76, 94]
[60, 79, 90]
[60, 79, 94]
[70, 76, 90]
[70, 76, 94]
[70, 79, 90]
[70, 79, 94]
