Zero 3 5 [1, 3, 4, 5, 8]
[60, 8, 14, 21, 38]
[60, 8, 14, 22, 32]
[60, 8, 14, 22, 35]
[60, 8, 14, 22, 38]
[60, 8, 14, 23, 38]
[60, 8, 14, 27, 32]
[60, 8, 14, 27, 35]
[60, 8, 14, 27, 38]
[60, 8, 15, 20, 32]
[60, 8, 15, 20, 35]
[60, 8, 15, 20, 38]
[60, 8, 15, 21, 30]
[60, 8, 15, 21, 34]
[60, 8, 15, 21, 38]
[60, 8, 15, 22, 30]
[60, 8, 15, 22, 32]
[60, 8, 15, 22, 34]
[60, 8, 15, 22, 35]
[60, 8, 15, 22, 38]
[60, 8, 15, 23, 30]
[60, 8, 15, 23, 34]
[60, 8, 15, 23, 38]
[60, 8, 15, 27, 30]
[60, 8, 15, 27, 32]
[60, 8, 15, 27, 34]
[60, 8, 15, 27, 35]
[60, 8, 15, 27, 38]
[60, 8, 17, 21, 30]
[60, 8, 17, 21, 34]
[60, 8, 17, 21, 38]
[60, 8, 17, 22, 30]
[60, 8, 17, 22, 32]
[60, 8, 17, 22, 34]
[60, 8, 17, 22, 35]
[60, 8, 17, 22, 38]
[60, 8, 17, 23, 30]
[60, 8, 17, 23, 34]
[60, 8, 17, 23, 38]
[60, 8, 18, 21, 30]
[60, 8, 18, 21, 34]
[60, 8, 18, 21, 38]
[60, 8, 18, 22, 30]
[60, 8, 18, 22, 32]
[60, 8, 18, 22, 34]
[60, 8, 18, 22, 35]
[60, 8, 18, 22, 38]
[60, 8, 18, 23, 30]
[60, 8, 18, 23, 34]
[60, 8, 18, 23, 38]
[60, 8, 19, 20, 32]
[60, 8, 19, 20, 35]
[60, 8, 19, 20, 38]
[60, 8, 19, 21, 30]
[60, 8, 19, 21, 34]
[60, 8, 19, 21, 38]
[60, 8, 19, 22, 30]
[60, 8, 19, 22, 32]
[60, 8, 19, 22, 34]
[60, 8, 19, 22, 35]
[60, 8, 19, 23, 30]
[60, 8, 19, 23, 34]
[60, 8, 19, 27, 30]
[60, 8, 19, 27, 32]
[60, 8, 19, 27, 34]
[60, 8, 19, 27, 35]
[60, 8, 19, 27, 38]
[60, 9, 14, 21, 38]
[60, 9, 14, 22, 32]
[60, 9, 14, 22, 35]
[60, 9, 14, 22, 38]
[60, 9, 14, 23, 38]
[60, 9, 14, 27, 32]
[60, 9, 14, 27, 35]
[60, 9, 14, 27, 38]
[60, 9, 15, 20, 32]
[60, 9, 15, 20, 35]
[60, 9, 15, 20, 38]
[60, 9, 15, 21, 30]
[60, 9, 15, 21, 34]
[60, 9, 15, 21, 38]
[60, 9, 15, 22, 30]
[60, 9, 15, 22, 32]
[60, 9, 15, 22, 34]
[60, 9, 15, 22, 35]
[60, 9, 15, 22, 38]
[60, 9, 15, 23, 30]
[60, 9, 15, 23, 34]
[60, 9, 15, 23, 38]
[60, 9, 15, 27, 30]
[60, 9, 15, 27, 32]
[60, 9, 15, 27, 34]
[60, 9, 15, 27, 35]
[60, 9, 15, 27, 38]
[60, 9, 17, 21, 30]
[60, 9, 17, 21, 34]
[60, 9, 17, 21, 38]
[60, 9, 17, 22, 30]
[60, 9, 17, 22, 32]
[60, 9, 17, 22, 34]
[60, 9, 17, 22, 35]
[60, 9, 17, 22, 38]
[60, 9, 17, 23, 30]
[60, 9, 17, 23, 34]
[60, 9, 17, 23, 38]
[60, 9, 18, 21, 30]
[60, 9, 18, 21, 34]
[60, 9, 18, 21, 38]
[60, 9, 18, 22, 30]
[60, 9, 18, 22, 32]
[60, 9, 18, 22, 34]
[60, 9, 18, 22, 35]
[60, 9, 18, 22, 38]
[60, 9, 18, 23, 30]
[60, 9, 18, 23, 34]
[60, 9, 18, 23, 38]
[60, 9, 19, 20, 32]
[60, 9, 19, 20, 35]
[60, 9, 19, 20, 38]
[60, 9, 19, 21, 30]
[60, 9, 19, 21, 34]
[60, 9, 19, 21, 38]
[60, 9, 19, 22, 30]
[60, 9, 19, 22, 32]
[60, 9, 19, 22, 34]
[60, 9, 19, 22, 35]
[60, 9, 19, 22, 38]
[60, 9, 19, 23, 30]
[60, 9, 19, 23, 34]
[60, 9, 19, 23, 38]
[60, 9, 19, 27, 30]
[60, 9, 19, 27, 32]
[60, 9, 19, 27, 34]
[60, 9, 19, 27, 35]
[60, 9, 19, 27, 38]
[60, 12, 14, 22, 30]
[60, 12, 14, 22, 34]
[60, 12, 14, 22, 38]
[60, 12, 15, 22, 30]
[60, 12, 15, 22, 34]
[60, 12, 15, 22, 38]
[60, 12, 19, 22, 30]
[60, 12, 19, 22, 34]
[60, 12, 19, 22, 38]
[60, 8, 14, 21, 40]
